,preferredLabel_x,Reduced_pref_seperate_en,Reduced_pref_com,Reduced_pref_obj,Reduced_pref_amod
7121,electron beam welding processes,"['No change', 'No change', 'No change']",No change,No change,No change
7122,calculate needs for construction supplies,"['construction supplies_com', 'calculate needs_obj', 'No change']",construction supplies_com,calculate needs_obj,No change
7128,decide on insurance applications,"['insurance applications_com', 'No change', 'No change']",insurance applications_com,No change,No change
7131,import export regulations of dangerous chemicals,"['import export regulations_com', 'No change', 'dangerous chemicals_amod']",import export regulations_com,No change,dangerous chemicals_amod
7132,help create choreographic material,"['No change', 'No change', 'choreographic material_amod']",No change,No change,choreographic material_amod
7135,create smooth wood surface,"['wood surface_com', 'No change', 'smooth wood surface_amod']",wood surface_com,No change,smooth wood surface_amod
7136,prepare materials for dental procedures,"['No change', 'prepare materials_obj', 'dental procedures_amod']",No change,prepare materials_obj,dental procedures_amod
7140,review meteorological forecast data,"['forecast data_com', 'No change', 'meteorological forecast data_amod']",forecast data_com,No change,meteorological forecast data_amod
7143,operate optical measuring equipment,"['No change', 'No change', 'optical measuring equipment_amod']",No change,No change,optical measuring equipment_amod
7153,operate pumps in aquaculture facilities,"['aquaculture facilities_com', 'operate pumps_obj', 'No change']",aquaculture facilities_com,operate pumps_obj,No change
7155,follow health and safety precautions in social care practices,"['care practices_com', 'follow health and safety precautions_obj', 'social care practices_amod']",care practices_com,follow health and safety precautions_obj,social care practices_amod
7158,direct logistical functions for product life cycles,"['product life cycles_com', 'No change', 'direct logistical functions_amod']",product life cycles_com,No change,direct logistical functions_amod
7160,maintain relationships with government agencies,"['government agencies_com', 'maintain relationships_obj', 'No change']",government agencies_com,maintain relationships_obj,No change
7163,monitor casino client satisfaction,"['casino client satisfaction_com', 'No change', 'No change']",casino client satisfaction_com,No change,No change
7165,collect items for laundry service,"['No change', 'collect items_obj', 'laundry service_amod']",No change,collect items_obj,laundry service_amod
7169,control production flow remotely,"['production flow_com', 'control production flow_obj', 'No change']",production flow_com,control production flow_obj,No change
7170,authorise occupancy of rail tracks,"['authorise occupancy_com', 'No change', 'No change']",authorise occupancy_com,No change,No change
7174,attend to detail regarding food and beverages,"['No change', 'No change', 'No change']",No change,No change,No change
7175,communicate with local residents,"['No change', 'No change', 'local residents_amod']",No change,No change,local residents_amod
7176,communicate on minerals issues,"['minerals issues_com', 'No change', 'No change']",minerals issues_com,No change,No change
7177,monitor patients during transfer to hospital,"['No change', 'monitor patients_obj', 'No change']",No change,monitor patients_obj,No change
7179,prevent fire in a performance environment,"['performance environment_com', 'prevent fire_obj', 'No change']",performance environment_com,prevent fire_obj,No change
7181,manage recirculation systems equipment,"['recirculation systems equipment_com', 'No change', 'No change']",recirculation systems equipment_com,No change,No change
7183,perform microbiological analysis in the food chain,"['food chain_com', 'perform microbiological analysis_obj', 'microbiological analysis in the food chain_amod']",food chain_com,perform microbiological analysis_obj,microbiological analysis in the food chain_amod
7185,use online communication tools,"['communication tools_com', 'No change', 'online communication tools_amod']",communication tools_com,No change,online communication tools_amod
7188,use equipment for hair care,"['hair care_com', 'use equipment_obj', 'No change']",hair care_com,use equipment_obj,No change
7189,negotiate terms with suppliers,"['No change', 'negotiate terms_obj', 'No change']",No change,negotiate terms_obj,No change
7191,plan social service process,"['service process_com', 'No change', 'social service process_amod']",service process_com,No change,social service process_amod
7192,maintain artist flying system,"['artist flying_com', 'No change', 'flying system_amod']",artist flying_com,No change,flying system_amod
7193,replace sawing blade on machine,"['No change', 'replace sawing blade_obj', 'No change']",No change,replace sawing blade_obj,No change
7195,assess risks implied in rigging operations,"['No change', 'implied in rigging operations_obj', 'assess risks_amod']",No change,implied in rigging operations_obj,assess risks_amod
7196,ensure mining records are maintained,"['mining records_com', 'No change', 'No change']",mining records_com,No change,No change
7198,load heavy items on pallets,"['No change', 'load heavy items_obj', 'heavy items on pallets_amod']",No change,load heavy items_obj,heavy items on pallets_amod
7206,accommodate cargo in freight transport vehicle,"['freight transport vehicle_com', 'No change', 'accommodate cargo_amod']",freight transport vehicle_com,No change,accommodate cargo_amod
7207,tend drop forging hammer,"['No change', 'No change', 'No change']",No change,No change,No change
7210,identify hazards in the workplace,"['No change', 'identify hazards_obj', 'No change']",No change,identify hazards_obj,No change
7211,anticipate shipment handling requirements,"['shipment handling requirements_com', 'No change', 'No change']",shipment handling requirements_com,No change,No change
7212,analyse trends in the food and beverage industries,"['analyse trends_com', 'No change', 'No change']",analyse trends_com,No change,No change
7222,screen patients for disease risk factors,"['screen patients_com', 'No change', 'No change']",screen patients_com,No change,No change
7223,use free typing techniques,"['typing techniques_com', 'No change', 'free typing techniques_amod']",typing techniques_com,No change,free typing techniques_amod
